equipment,direct_work_count,inferred_work_count,examples
экскаватор,265,1010,"Разработка грунта бульдозером мощн.96кВТ в грунтах 2 группы с перемещением до 10м в бурты и обратно | Укладка ж.б. плит ПДН разм. 6,0х2,0х0,14м. В27.5, F1300, W8 по т.п. 3.503.1-91.1-01 (под кран, экскаватор и бетоносмеситель). Стоимость при 5-тикратной оборачиваемости) | Разработка грунта в котловане, экскаватором емк. ковша 1,0м3 в грунтах 1 группы с погрузкой и автовозкой до 14км, в отвал | Разработка грунта в котловане, экскаватором емк. ковша 1,0м3 в грунтах 1 группы с погрузкой и автовозкой до 14км, в отвал | Разработка грунта в котловане, экскаватором емк. ковша 1,0м3 в грунтах 3группы с погрузкой и автовозкой до 1км (до места засыпки пазух и существующего русла)"
самосвал,178,971,"Разработка грунта бульдозером мощн.96кВТ в грунтах 2 группы с перемещением до 10м в бурты и обратно | Разработка грунта в котловане, экскаватором емк. ковша 1,0м3 в грунтах 1 группы с погрузкой и автовозкой до 14км, в отвал | Разработка грунта в котловане, экскаватором емк. ковша 1,0м3 в грунтах 3группы с погрузкой и автовозкой до 1км (до места засыпки пазух и существующего русла) | Разработка грунта в котловане, экскаватором емк. ковша 1,0м3 в грунтах 5группы с погрузкой и автовозкой до 1км (до места засыпки пазух и существующего русла) | Доработка котлована вручную в грунтах 5р группы с погрузкой и автовозкой до 1км (до места засыпки пазух и существующего русла)"
бульдозер,279,384,"Разработка грунта бульдозером мощн.96кВТ в грунтах 2 группы с перемещением до 10м в бурты и обратно | Устройство рабочего слоя (0,3м) технологического съезда скальным грунтом с автовозкой из карьера, с планировкой | Устройство выравнивающего слоя толщиной 20см дренгрунтом с автовозкой из карьера , с планировкой | Планировка местности после разборки технологического съезда, бульдозером | Планировка местности после разборки технологического съезда, бульдозером"
автогрейдер,0,384,"Устройство рабочего слоя (0,3м) технологического съезда скальным грунтом с автовозкой из карьера, с планировкой | Устройство выравнивающего слоя толщиной 20см дренгрунтом с автовозкой из карьера , с планировкой | Планировка местности после разборки технологического съезда, бульдозером | Устройство рабочего слоя (0,3м) скальным грунтом с автовозкой из карьера , с планировкой | Срезка почвенно-растительного слоя (ПРС) бульдозером мощнностью 96кВт, с перемещением грунта до 10м"
кран,23,331,"выправка пути | Монтаж трубопровода ПК17204-ПК17223 | Погружение вибропогружателем стальных свай шпунтового ряда массой 1 м до 70 кг на глубину до 15 м. Выполнение работ с прекращением движения поездов, а | Погружение вибропогружателем стальных свай шпунтового ряда массой 1 м до 70 кг на глубину до 15 м | Извлечение стальных свай шпунтового ряда массой 1 м до 70 кг, длиной до 15 м из грунтов группы 2 после сооружения трубы"
трамбовка,85,182,"Обратная засыпка котлована с уплотнением ручными трамбовками недренирующим грунтом от разработки выемки на ПК 1057, с автовозкой до 1км | Обратная засыпка котлована с уплотнением ручными трамбовками недренирующим грунтом от разработки выемки на ПК 1057, с автовозкой до 1км | Уплотнение грунта ручными трамбовками | Уплотнение грунта ручными трамбовками | Уплотнением катками на пневмоколесном ходу весом 25т толщине слоя 25см за 4прохода по одному следу"
каток,73,182,"Обратная засыпка котлована с уплотнением ручными трамбовками недренирующим грунтом от разработки выемки на ПК 1057, с автовозкой до 1км | Уплотнение грунта ручными трамбовками | Уплотнением катками на пневмоколесном ходу весом 25т толщине слоя 25см за 4прохода по одному следу | Уплотнением катками на пневмоколесном ходу весом 25т толщине слоя 25см за 4прохода по одному следу | Уплотнением катками на пневмоколесном ходу весом 25т толщине слоя 40см за 6 проходов по одному следу"
автовышка,0,113,"Прокладка кабелей СЦБ | Прокладка кабелей | Прокладка кабеля | Разработка грунта вручную в траншеях на действующей железной дороге при прокладке кабеля под путями и в междупутье, группа грунтов 3 | Разработка грунта вручную в траншеях на действующей железной дороге при прокладке кабеля под путями и в междупутье, группа грунтов 4"
кабелеукладчик,4,106,"Прокладка кабелей СЦБ | Прокладка кабелей | Прокладка кабеля | Разработка грунта вручную в траншеях на действующей железной дороге при прокладке кабеля под путями и в междупутье, группа грунтов 3 | Разработка грунта вручную в траншеях на действующей железной дороге при прокладке кабеля под путями и в междупутье, группа грунтов 4"
буровая машина,1,103,"Погружение вибропогружателем стальных свай шпунтового ряда массой 1 м до 70 кг на глубину до 15 м. Выполнение работ с прекращением движения поездов, а | Погружение вибропогружателем стальных свай шпунтового ряда массой 1 м до 70 кг на глубину до 15 м | Извлечение стальных свай шпунтового ряда массой 1 м до 70 кг, длиной до 15 м из грунтов группы 2 после сооружения трубы | Погружение вибропогружателем стальных свай шпунтового ряда массой 1 м свыше 70 кг на глубину до 10 м | Монтаж машины горизонтального бурения прессово-шнекового типа РВА Объем▒5+5+15+15"
бетоновоз/миксер,0,87,"Устройство бетонной отмостки из бетона В7,5 Объем-((9,51.1.2-1,5.1.2)+5,62.1+1,2.1.2+(3,14.(3,8.3,8-2,8.2,8):2-2,26.1.2)).((0,32+0,15):2) | Устройство бетонной отмостки из бетона В7,5 Объем-(6,04.2+18).1.0,17-(6,14.2+16,2).0,1.0,1 | Устройство бетонной подготовки из бетона В7,5 | Устройство бетонной отмостки из бетона В7,5,F150,W6 Объем-((12,08+6).2.1.0,125-(10,28+6).2.0,1.0,1).5 | Устройство бетонной подготовки"
бетононасос,0,87,"Устройство бетонной отмостки из бетона В7,5 Объем-((9,51.1.2-1,5.1.2)+5,62.1+1,2.1.2+(3,14.(3,8.3,8-2,8.2,8):2-2,26.1.2)).((0,32+0,15):2) | Устройство бетонной отмостки из бетона В7,5 Объем-(6,04.2+18).1.0,17-(6,14.2+16,2).0,1.0,1 | Устройство бетонной подготовки из бетона В7,5 | Устройство бетонной отмостки из бетона В7,5,F150,W6 Объем-((12,08+6).2.1.0,125-(10,28+6).2.0,1.0,1).5 | Устройство бетонной подготовки"
выправочно-подбивочная машина,0,64,"балластировка пути | выправка пути | Балластировка пути и стрелочных переводов на железобетонных шпалах, балласт: щебеночный. Балластировка пути и стрелочных переводов, применен коэффицие | Выправочно-отделочные работы и окончательная выправка пути на железобетонных шпалах, балласт щебеночный Рихтовка пути | Укладка пути звеньями рельсошпальной решетки длиной 25 м, шпалы железобетонные: без устройства разделительного слоя"
локомотив/мотовоз,1,45,"выправка пути | Выправочно-отделочные работы и окончательная выправка пути на железобетонных шпалах, балласт щебеночный Рихтовка пути | Укладка пути звеньями рельсошпальной решетки длиной 25 м, шпалы железобетонные: без устройства разделительного слоя | Укладка пути отдельными элементами на железобетонных шпалах тип рельсов Р65 длина рельсов 25 м, число шпал на 1 км: 1600 2,190:2 | Выправочно-отделочные работы и окончательная выправка пути на деревянных шпалах, балласт щебеночный"
путеукладчик,0,45,"выправка пути | Выправочно-отделочные работы и окончательная выправка пути на железобетонных шпалах, балласт щебеночный Рихтовка пути | Укладка пути звеньями рельсошпальной решетки длиной 25 м, шпалы железобетонные: без устройства разделительного слоя | Укладка пути отдельными элементами на железобетонных шпалах тип рельсов Р65 длина рельсов 25 м, число шпал на 1 км: 1600 2,190:2 | Выправочно-отделочные работы и окончательная выправка пути на деревянных шпалах, балласт щебеночный"
балластораспределитель,0,19,"балластировка пути | Балластировка пути и стрелочных переводов на железобетонных шпалах, балласт: щебеночный. Балластировка пути и стрелочных переводов, применен коэффицие | Балластировка пути и стрелочных переводов на железобетонных шпалах, балласт: щебеночный Подъемка путей щебнем 2100+5450 | Балластировка пути и стрелочных переводов на деревянных шпалах, балласт: щебеночный Подъемка путей щебнем | Балластировка пути на железобетонных шпалах, балласт: щебеночный 183000-800"
погрузчик,0,19,"балластировка пути | Балластировка пути и стрелочных переводов на железобетонных шпалах, балласт: щебеночный. Балластировка пути и стрелочных переводов, применен коэффицие | Балластировка пути и стрелочных переводов на железобетонных шпалах, балласт: щебеночный Подъемка путей щебнем 2100+5450 | Балластировка пути и стрелочных переводов на деревянных шпалах, балласт: щебеночный Подъемка путей щебнем | Балластировка пути на железобетонных шпалах, балласт: щебеночный 183000-800"
лидар,1,0,"Съемные и выдвижные блоки (модули, ячейки, ТЭЗ), масса до 30 кг (Сервер сбора и обработки данных с ЛИДАР-датчиков, Сервер сбора и обработки данных с л"
